Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,18.168,ms,23.176,ms,26.668,ms,2.805,ms,906.6312726678829,Mb/s,35.151203685563274,Mb/s,10.706,ms
0.0,19.349,ms,22.84,ms,26.531,ms,2.445,ms,0.0,,0.0,,0.0,
0.0,19.768,ms,48.149,ms,99.636,ms,30.983,ms,920.2242070690772,Mb/s,39.204266532056735,Mb/s,9.153,ms
0.0,18.191,ms,19.382,ms,23.9,ms,1.836,ms,911.1366127015726,Mb/s,39.496369226234044,Mb/s,11.184,ms
0.0,17.494,ms,18.163,ms,18.845,ms,0.463,ms,703.9551203333396,Mb/s,38.76231899796301,Mb/s,23.613,ms
0.0,17.577,ms,19.68,ms,22.21,ms,1.646,ms,915.3860249940709,Mb/s,39.859817726164046,Mb/s,11.0,ms
0.0,19.118,ms,24.582,ms,27.897,ms,2.806,ms,918.9827544504471,Mb/s,39.72607197756062,Mb/s,10.766,ms
0.0,17.713,ms,18.779,ms,19.903,ms,0.727,ms,916.8923822174113,Mb/s,40.1121571507193,Mb/s,12.206,ms
0.0,17.756,ms,18.714,ms,19.587,ms,0.743,ms,672.2597265759082,Mb/s,39.63119120741495,Mb/s,24.493,ms
0.0,18.037,ms,22.557,ms,28.886,ms,3.71,ms,913.7782935999613,Mb/s,39.629133473002796,Mb/s,11.082,ms
0.0,34.511,ms,37.553,ms,40.456,ms,1.967,ms,826.7432095333926,Mb/s,35.61708224387601,Mb/s,17.803,ms
0.0,34.867,ms,36.636,ms,38.487,ms,1.184,ms,673.2324559188805,Mb/s,32.36834629819495,Mb/s,26.599,ms
0.0,18.238,ms,20.924,ms,24.682,ms,1.921,ms,915.136553249763,Mb/s,35.94706362782969,Mb/s,9.798,ms
0.0,22.607,ms,28.292,ms,34.27,ms,4.272,ms,776.8111843276645,Mb/s,27.403869815568555,Mb/s,10.353,ms
0.0,16.595,ms,19.143,ms,32.198,ms,4.515,ms,867.3436447123837,Mb/s,35.25425661225581,Mb/s,16.872,ms
0.0,17.568,ms,18.402,ms,19.483,ms,0.635,ms,876.2630523687775,Mb/s,38.03331529383003,Mb/s,15.562,ms
0.0,16.209,ms,20.81,ms,24.87,ms,3.183,ms,909.3367491627353,Mb/s,40.42718135957318,Mb/s,9.009,ms
0.0,17.005,ms,20.197,ms,26.42,ms,2.69,ms,909.7332990246483,Mb/s,39.61008157449903,Mb/s,10.192,ms
0.0,16.982,ms,21.237,ms,26.416,ms,2.827,ms,914.6188973910128,Mb/s,40.27543002036572,Mb/s,10.13,ms
0.0,17.8,ms,21.46,ms,25.254,ms,2.381,ms,913.1645403863884,Mb/s,39.99370480569279,Mb/s,10.498,ms
0.0,16.352,ms,20.087,ms,23.075,ms,2.187,ms,913.7075548782018,Mb/s,40.20459354755869,Mb/s,10.687,ms
0.0,17.532,ms,21.207,ms,28.509,ms,3.155,ms,911.2582959672974,Mb/s,39.755942907131484,Mb/s,10.537,ms
0.0,17.86,ms,21.12,ms,33.331,ms,4.549,ms,911.2728931464032,Mb/s,40.19202478514896,Mb/s,11.397,ms
0.0,16.807,ms,21.22,ms,30.427,ms,3.774,ms,839.8726425683027,Mb/s,37.881263151491275,Mb/s,16.466,ms
0.0,32.425,ms,35.234,ms,38.66,ms,1.741,ms,908.7085975374804,Mb/s,39.63818669320738,Mb/s,10.323,ms
0.0,32.939,ms,36.496,ms,40.94,ms,2.714,ms,851.6016466002696,Mb/s,40.12324916956609,Mb/s,16.583,ms
0.0,19.097,ms,22.194,ms,29.652,ms,2.985,ms,683.6882737934469,Mb/s,38.85713337163251,Mb/s,24.064,ms
0.0,16.99,ms,20.442,ms,24.488,ms,2.375,ms,914.3627277496922,Mb/s,40.64116578943527,Mb/s,11.035,ms
0.0,17.116,ms,20.324,ms,31.234,ms,4.043,ms,910.5421131682147,Mb/s,40.17398693698013,Mb/s,8.074,ms
0.0,17.304,ms,20.147,ms,26.048,ms,2.502,ms,915.1261619890269,Mb/s,40.4639678002949,Mb/s,8.931,ms
0.0,18.064,ms,20.488,ms,24.636,ms,1.809,ms,686.5181101687073,Mb/s,32.298420549004845,Mb/s,24.172,ms
0.0,18.66,ms,21.003,ms,27.231,ms,2.437,ms,914.3565365843341,Mb/s,35.937663773493284,Mb/s,9.427,ms
0.0,17.086,ms,20.832,ms,24.893,ms,2.533,ms,914.8593072885145,Mb/s,35.207243263970355,Mb/s,10.749,ms
0.0,17.283,ms,20.158,ms,24.302,ms,1.882,ms,913.2087271761363,Mb/s,35.76050921784903,Mb/s,9.971,ms
0.0,18.155,ms,20.903,ms,30.847,ms,3.502,ms,912.8827801220831,Mb/s,35.699350895275366,Mb/s,9.246,ms
0.0,17.173,ms,19.558,ms,22.279,ms,1.632,ms,911.0678858605481,Mb/s,35.29591527978215,Mb/s,9.883,ms
0.0,18.33,ms,21.134,ms,24.883,ms,2.452,ms,913.7981063064066,Mb/s,40.1620091322432,Mb/s,12.228,ms
0.0,17.273,ms,20.797,ms,26.557,ms,2.725,ms,837.1769751696174,Mb/s,39.510638251064044,Mb/s,15.974,ms
0.0,32.431,ms,35.872,ms,39.958,ms,2.54,ms,755.2174897326237,Mb/s,38.61328342907527,Mb/s,20.598,ms
0.0,33.144,ms,36.978,ms,43.226,ms,3.014,ms,891.5359403769994,Mb/s,40.57671086280159,Mb/s,13.228,ms
0.0,32.164,ms,35.599,ms,38.856,ms,2.297,ms,864.0678481307032,Mb/s,38.40083217696398,Mb/s,15.686,ms
0.0,35.981,ms,39.677,ms,47.204,ms,3.538,ms,914.2103493774993,Mb/s,39.671036012933946,Mb/s,11.024,ms
0.0,34.007,ms,37.323,ms,39.226,ms,1.771,ms,620.6308836246026,Mb/s,40.29192967887155,Mb/s,28.078,ms
0.0,32.803,ms,34.154,ms,35.627,ms,0.837,ms,811.1677498294779,Mb/s,39.61574545641452,Mb/s,17.542,ms
0.0,32.815,ms,35.377,ms,37.498,ms,1.41,ms,915.0901734039707,Mb/s,39.81897120827612,Mb/s,9.369,ms
0.0,32.24,ms,34.979,ms,39.038,ms,2.048,ms,823.5133776519904,Mb/s,39.232236726222574,Mb/s,17.381,ms
0.0,33.595,ms,37.902,ms,47.277,ms,3.938,ms,598.7286004504473,Mb/s,34.81599135420866,Mb/s,29.434,ms
0.0,32.55,ms,35.208,ms,41.206,ms,2.566,ms,442.33730189407004,Mb/s,34.22667144850054,Mb/s,43.061,ms
0.0,32.985,ms,36.003,ms,40.127,ms,2.225,ms,680.7019349162097,Mb/s,30.834193928900984,Mb/s,23.835,ms
0.0,35.572,ms,39.25,ms,42.334,ms,2.624,ms,908.3892489349461,Mb/s,35.38482811473791,Mb/s,9.771,ms
0.0,33.247,ms,37.096,ms,41.442,ms,3.274,ms,910.2059957402319,Mb/s,34.6915194302914,Mb/s,10.263,ms
0.0,32.652,ms,35.313,ms,40.712,ms,2.555,ms,903.0310457578805,Mb/s,35.659357078644724,Mb/s,13.364,ms
0.0,34.55,ms,37.478,ms,40.308,ms,1.629,ms,600.9253851805923,Mb/s,34.214991750457,Mb/s,30.111,ms
0.0,33.003,ms,34.558,ms,38.341,ms,1.459,ms,878.961482679151,Mb/s,36.09991638523384,Mb/s,15.202,ms
0.0,32.694,ms,34.764,ms,37.31,ms,1.17,ms,916.240121839603,Mb/s,35.24137590275225,Mb/s,10.666,ms
0.0,32.699,ms,34.985,ms,38.918,ms,1.696,ms,904.9880820671893,Mb/s,36.02086157849797,Mb/s,13.309,ms
0.0,33.168,ms,36.439,ms,39.955,ms,1.988,ms,904.210023470142,Mb/s,34.4125768255547,Mb/s,13.667,ms
0.0,34.242,ms,35.811,ms,39.013,ms,1.497,ms,915.0511579759292,Mb/s,36.29398467309094,Mb/s,10.485,ms
0.0,33.585,ms,37.411,ms,41.094,ms,2.682,ms,704.7005687254943,Mb/s,35.58111254830533,Mb/s,23.934,ms
0.0,33.969,ms,36.749,ms,40.549,ms,2.034,ms,650.82570968236,Mb/s,21.665235446919844,Mb/s,27.561,ms
0.0,33.089,ms,36.591,ms,39.253,ms,1.807,ms,885.2853006849617,Mb/s,35.05976148684549,Mb/s,15.566,ms
0.0,33.696,ms,35.439,ms,40.354,ms,1.829,ms,917.185040772612,Mb/s,35.166960763735595,Mb/s,9.06,ms
0.0,32.596,ms,36.256,ms,44.714,ms,3.843,ms,903.259974205141,Mb/s,34.89075185252449,Mb/s,13.057,ms
0.0,32.362,ms,37.367,ms,41.677,ms,2.712,ms,708.0726523115832,Mb/s,34.323854111409815,Mb/s,23.403,ms
0.0,32.693,ms,34.714,ms,41.483,ms,2.552,ms,849.7924099825035,Mb/s,35.5496052878814,Mb/s,17.585,ms
0.0,33.363,ms,38.704,ms,42.798,ms,2.845,ms,877.0026717380297,Mb/s,34.16249866717364,Mb/s,16.07,ms
0.0,32.44,ms,35.761,ms,39.575,ms,3.01,ms,852.5850226535005,Mb/s,34.83579094475446,Mb/s,16.796,ms
0.0,17.1,ms,20.178,ms,24.716,ms,2.307,ms,853.3795269106492,Mb/s,34.469262553667726,Mb/s,16.458,ms
0.0,20.461,ms,22.812,ms,25.507,ms,1.628,ms,917.6165428505162,Mb/s,35.80660129031322,Mb/s,8.382,ms
0.0,19.615,ms,22.274,ms,25.733,ms,2.07,ms,910.2987045256401,Mb/s,35.85497179964224,Mb/s,10.091,ms
0.0,17.636,ms,18.975,ms,21.209,ms,1.118,ms,883.4312507318663,Mb/s,34.272397921797655,Mb/s,15.496,ms
0.0,16.774,ms,23.743,ms,27.127,ms,2.808,ms,837.6857355405527,Mb/s,34.30504073391545,Mb/s,17.656,ms
0.0,18.011,ms,20.12,ms,23.57,ms,1.936,ms,912.016110756699,Mb/s,35.05672856124617,Mb/s,10.448,ms
0.0,17.831,ms,21.565,ms,26.53,ms,2.495,ms,713.9822705166691,Mb/s,32.20734830515806,Mb/s,24.378,ms
0.0,17.853,ms,20.213,ms,25.833,ms,2.475,ms,621.3710329605483,Mb/s,33.537914724643535,Mb/s,29.357,ms
0.0,17.871,ms,20.641,ms,28.958,ms,3.127,ms,916.0027271545854,Mb/s,36.01104578189426,Mb/s,10.014,ms
0.0,17.702,ms,19.903,ms,21.875,ms,1.443,ms,911.6118021969025,Mb/s,36.151164080216176,Mb/s,10.564,ms
0.0,18.843,ms,21.388,ms,24.98,ms,2.245,ms,854.8082827369288,Mb/s,34.855985354161135,Mb/s,17.474,ms
0.0,17.748,ms,22.041,ms,26.411,ms,3.16,ms,809.7802552211843,Mb/s,40.58789582363126,Mb/s,16.289,ms
0.0,19.187,ms,22.22,ms,24.127,ms,1.659,ms,642.4300082574581,Mb/s,32.35926628058206,Mb/s,26.652,ms
0.0,17.159,ms,19.951,ms,22.732,ms,1.712,ms,910.3391217480771,Mb/s,35.807993349112245,Mb/s,10.477,ms
0.0,18.195,ms,22.378,ms,29.214,ms,3.027,ms,915.3286144362266,Mb/s,35.91184373101762,Mb/s,9.925,ms
0.0,17.433,ms,21.261,ms,24.849,ms,2.504,ms,859.5434993459481,Mb/s,34.93887337138423,Mb/s,16.211,ms
0.0,17.819,ms,20.185,ms,24.887,ms,2.642,ms,875.4193889996252,Mb/s,36.861812456244216,Mb/s,14.493,ms
0.0,19.478,ms,22.006,ms,26.715,ms,2.261,ms,858.9935545094197,Mb/s,33.21133521565363,Mb/s,15.877,ms
0.0,33.272,ms,36.59,ms,39.418,ms,2.052,ms,859.8362440987282,Mb/s,33.635527242887505,Mb/s,15.721,ms
0.0,32.303,ms,35.718,ms,39.021,ms,2.076,ms,603.7053272260675,Mb/s,32.055283708965575,Mb/s,29.724,ms
0.0,33.179,ms,38.091,ms,43.617,ms,3.493,ms,855.0034166929685,Mb/s,35.46095408374482,Mb/s,16.395,ms
0.0,33.645,ms,37.517,ms,45.767,ms,3.194,ms,915.0816262536723,Mb/s,35.61370562235997,Mb/s,9.148,ms
0.0,16.908,ms,19.699,ms,23.92,ms,2.623,ms,875.6540081748165,Mb/s,33.506199788105135,Mb/s,15.719,ms
0.0,17.629,ms,21.544,ms,23.443,ms,1.909,ms,850.180737924641,Mb/s,35.20840942741981,Mb/s,16.007,ms
0.0,17.225,ms,20.635,ms,23.714,ms,2.199,ms,912.3449430557561,Mb/s,35.566907865817484,Mb/s,10.3,ms
0.0,18.092,ms,20.284,ms,22.961,ms,1.704,ms,914.201966236426,Mb/s,39.661784977291376,Mb/s,10.276,ms
0.0,17.363,ms,19.873,ms,22.595,ms,1.561,ms,868.2208141243258,Mb/s,35.212786415091294,Mb/s,16.503,ms
0.0,17.283,ms,20.889,ms,24.48,ms,2.534,ms,606.1439168730802,Mb/s,34.883317129720695,Mb/s,29.435,ms
0.0,17.432,ms,18.263,ms,18.995,ms,0.482,ms,865.576275564462,Mb/s,39.86354522885024,Mb/s,15.492,ms
0.0,16.648,ms,19.41,ms,25.601,ms,2.263,ms,834.2305380565958,Mb/s,39.73310051199828,Mb/s,17.68,ms
0.0,17.918,ms,19.158,ms,20.804,ms,0.882,ms,861.0546393610574,Mb/s,39.654932915827544,Mb/s,15.468,ms
0.0,17.522,ms,18.89,ms,21.629,ms,1.147,ms,909.2903668066327,Mb/s,39.05663830172782,Mb/s,13.053,ms
0.0,16.596,ms,19.151,ms,21.253,ms,1.487,ms,560.9221280550346,Mb/s,37.74894931114861,Mb/s,32.675,ms
0.0,32.861,ms,34.741,ms,37.994,ms,1.711,ms,558.9595379148553,Mb/s,37.690115926941964,Mb/s,32.52,ms
0.0,32.203,ms,33.164,ms,34.631,ms,0.771,ms,916.6707082049465,Mb/s,39.50642994537416,Mb/s,11.199,ms
0.0,33.956,ms,36.326,ms,39.033,ms,1.896,ms,879.3911963811242,Mb/s,38.97514444102649,Mb/s,15.389,ms
0.0,33.951,ms,34.852,ms,35.85,ms,0.619,ms,648.9975529315872,Mb/s,38.40108203312179,Mb/s,27.404,ms
0.0,32.473,ms,33.525,ms,34.358,ms,0.592,ms,877.2250514466713,Mb/s,39.5254681062202,Mb/s,16.419,ms
0.0,31.942,ms,33.51,ms,34.998,ms,1.108,ms,860.1273284919657,Mb/s,39.60575565007062,Mb/s,17.123,ms
0.0,32.804,ms,41.061,ms,84.176,ms,14.602,ms,879.9795990542584,Mb/s,40.32423998686682,Mb/s,15.387,ms
0.0,32.893,ms,34.279,ms,37.623,ms,1.308,ms,862.1410061600121,Mb/s,39.69214147253379,Mb/s,16.202,ms
0.0,33.477,ms,34.466,ms,35.155,ms,0.529,ms,869.7032713998382,Mb/s,36.91494301065059,Mb/s,16.004,ms
0.0,30.127,ms,32.77,ms,33.802,ms,1.019,ms,871.8367485823519,Mb/s,38.13090586584156,Mb/s,16.637,ms
0.0,31.957,ms,34.179,ms,35.847,ms,1.131,ms,917.6612972166615,Mb/s,39.68580569313792,Mb/s,10.526,ms
0.0,34.927,ms,37.992,ms,44.609,ms,2.538,ms,847.1216109464943,Mb/s,35.47224908607619,Mb/s,17.633,ms
0.0,36.046,ms,38.873,ms,42.265,ms,1.964,ms,840.3326896283712,Mb/s,33.88631849886742,Mb/s,16.837,ms
0.0,37.241,ms,39.528,ms,42.586,ms,1.755,ms,443.46459331054825,Mb/s,26.00170798934752,Mb/s,43.944,ms
0.0,37.178,ms,41.091,ms,42.739,ms,1.632,ms,829.1719721985668,Mb/s,35.01122783875253,Mb/s,15.969,ms
0.0,35.879,ms,38.51,ms,42.169,ms,1.755,ms,627.3767567414965,Mb/s,34.933967400330424,Mb/s,28.192,ms
0.0,34.525,ms,36.861,ms,40.369,ms,1.851,ms,838.8884825277609,Mb/s,33.74619222180921,Mb/s,16.644,ms
0.0,32.69,ms,35.325,ms,38.27,ms,2.185,ms,870.376679959078,Mb/s,33.341375436593154,Mb/s,16.106,ms
0.0,17.903,ms,20.56,ms,25.844,ms,2.607,ms,649.261664316973,Mb/s,33.94499979468048,Mb/s,26.329,ms
0.0,18.745,ms,23.155,ms,27.599,ms,2.701,ms,829.0308361995286,Mb/s,35.98289994057396,Mb/s,16.447,ms
0.0,17.567,ms,19.562,ms,21.679,ms,1.179,ms,836.0464603026965,Mb/s,33.18334283698003,Mb/s,17.136,ms
0.0,17.301,ms,20.029,ms,22.142,ms,1.401,ms,756.4238250987767,Mb/s,32.626002578313596,Mb/s,21.127,ms
