Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,18.815,ms,22.337,ms,26.254,ms,1.95,ms,935.588784,Mb/s,36.857816,Mb/s,25.928,ms
0.0,18.854,ms,20.864,ms,25.636,ms,2.131,ms,926.140576,Mb/s,36.608864,Mb/s,21.584,ms
0.0,17.508,ms,20.024,ms,29.626,ms,3.463,ms,944.309472,Mb/s,40.073336,Mb/s,20.625,ms
0.0,17.843,ms,19.32,ms,22.552,ms,1.37,ms,947.27876,Mb/s,41.550048,Mb/s,20.02,ms
0.0,17.848,ms,21.009,ms,25.984,ms,2.419,ms,949.79628,Mb/s,41.671144,Mb/s,20.411,ms
0.0,16.889,ms,20.791,ms,40.917,ms,6.842,ms,945.26572,Mb/s,41.075936,Mb/s,20.103,ms
0.0,17.769,ms,20.508,ms,22.997,ms,1.895,ms,31.901376,Mb/s,20.169728,Mb/s,23.256,ms
0.0,17.73,ms,19.047,ms,21.709,ms,1.238,ms,949.779664,Mb/s,41.259128,Mb/s,19.316,ms
0.0,17.606,ms,19.448,ms,23.708,ms,1.759,ms,943.285832,Mb/s,41.607528,Mb/s,19.774,ms
0.0,17.561,ms,19.212,ms,23.709,ms,1.599,ms,947.312056,Mb/s,41.541928,Mb/s,20.636,ms
0.0,17.676,ms,21.11,ms,27.89,ms,3.39,ms,0.0,,0.0,,0.0,
0.0,35.513,ms,38.91,ms,43.536,ms,2.6,ms,939.295152,Mb/s,36.71632,Mb/s,24.388,ms
0.0,34.376,ms,38.514,ms,43.099,ms,2.644,ms,950.43556,Mb/s,36.168392,Mb/s,26.38,ms
0.0,17.686,ms,20.517,ms,24.317,ms,2.279,ms,943.211816,Mb/s,37.245264,Mb/s,21.136,ms
0.0,33.179,ms,35.673,ms,38.389,ms,1.623,ms,945.788576,Mb/s,36.790744,Mb/s,20.986,ms
0.0,18.071,ms,20.988,ms,24.651,ms,2.133,ms,950.608248,Mb/s,35.278392,Mb/s,20.856,ms
0.0,16.821,ms,19.15,ms,22.941,ms,1.815,ms,951.614296,Mb/s,41.540488,Mb/s,20.053,ms
0.0,16.674,ms,17.798,ms,20.061,ms,0.896,ms,942.246968,Mb/s,41.71292,Mb/s,20.197,ms
0.0,18.512,ms,22.317,ms,26.108,ms,2.63,ms,952.575472,Mb/s,41.357968,Mb/s,21.527,ms
0.0,18.154,ms,22.088,ms,27.61,ms,2.726,ms,949.101008,Mb/s,40.858432,Mb/s,19.604,ms
0.0,15.301,ms,20.404,ms,26.69,ms,3.113,ms,948.615216,Mb/s,40.912008,Mb/s,25.085,ms
0.0,17.656,ms,20.68,ms,24.573,ms,1.79,ms,942.21228,Mb/s,41.199992,Mb/s,21.239,ms
0.0,16.697,ms,18.466,ms,20.563,ms,0.958,ms,946.83432,Mb/s,41.416632,Mb/s,20.584,ms
0.0,17.41,ms,20.622,ms,24.277,ms,2.471,ms,944.110488,Mb/s,41.511432,Mb/s,22.445,ms
0.0,17.149,ms,21.85,ms,27.993,ms,2.88,ms,942.6692,Mb/s,41.20928,Mb/s,26.103,ms
0.0,17.341,ms,21.543,ms,27.878,ms,3.231,ms,947.42724,Mb/s,41.495736,Mb/s,25.795,ms
0.0,17.566,ms,21.083,ms,25.684,ms,2.92,ms,946.93532,Mb/s,41.36716,Mb/s,19.995,ms
0.0,31.563,ms,34.144,ms,38.527,ms,2.113,ms,949.319464,Mb/s,41.417432,Mb/s,19.315,ms
0.0,17.936,ms,20.711,ms,23.759,ms,1.919,ms,950.23676,Mb/s,41.322592,Mb/s,23.247,ms
0.0,16.99,ms,19.373,ms,21.821,ms,1.377,ms,928.21236,Mb/s,40.7516,Mb/s,27.689,ms
0.0,17.176,ms,19.834,ms,24.454,ms,2.416,ms,940.294552,Mb/s,41.247456,Mb/s,22.612,ms
0.0,16.478,ms,17.917,ms,20.41,ms,1.208,ms,952.05408,Mb/s,41.111288,Mb/s,20.652,ms
0.0,17.959,ms,20.649,ms,27.761,ms,3.009,ms,937.90604,Mb/s,36.820288,Mb/s,24.565,ms
0.0,19.459,ms,22.27,ms,26.364,ms,2.196,ms,950.077632,Mb/s,36.599728,Mb/s,20.307,ms
0.0,18.077,ms,21.639,ms,25.165,ms,2.017,ms,942.20592,Mb/s,36.998528,Mb/s,23.281,ms
0.0,17.83,ms,20.458,ms,22.738,ms,1.792,ms,948.827336,Mb/s,36.655664,Mb/s,20.834,ms
0.0,16.406,ms,20.258,ms,23.318,ms,1.887,ms,948.031472,Mb/s,35.91916,Mb/s,25.365,ms
0.0,17.581,ms,21.065,ms,26.419,ms,2.709,ms,953.871408,Mb/s,36.83852,Mb/s,21.177,ms
0.0,17.783,ms,21.339,ms,24.324,ms,2.228,ms,942.026648,Mb/s,41.536896,Mb/s,20.299,ms
0.0,17.202,ms,20.229,ms,26.087,ms,2.435,ms,948.48,Mb/s,41.224384,Mb/s,20.029,ms
0.0,17.731,ms,19.028,ms,25.674,ms,2.238,ms,942.424896,Mb/s,41.424488,Mb/s,22.277,ms
0.0,34.127,ms,36.3,ms,39.756,ms,2.104,ms,948.279848,Mb/s,41.243568,Mb/s,20.832,ms
0.0,33.399,ms,37.984,ms,43.462,ms,3.307,ms,946.4932,Mb/s,40.997368,Mb/s,25.2,ms
0.0,34.33,ms,37.556,ms,42.519,ms,2.42,ms,946.475872,Mb/s,41.327408,Mb/s,20.559,ms
0.0,33.569,ms,36.034,ms,40.709,ms,2.101,ms,932.346272,Mb/s,41.51244,Mb/s,22.696,ms
0.0,32.109,ms,35.134,ms,41.455,ms,2.958,ms,948.283144,Mb/s,41.53928,Mb/s,23.409,ms
0.0,33.195,ms,36.766,ms,44.535,ms,3.372,ms,948.85644,Mb/s,41.446472,Mb/s,19.775,ms
0.0,33.439,ms,35.611,ms,39.41,ms,1.908,ms,949.996992,Mb/s,41.428584,Mb/s,22.61,ms
0.0,33.486,ms,35.854,ms,39.697,ms,1.918,ms,941.177896,Mb/s,40.991136,Mb/s,24.2,ms
0.0,33.362,ms,36.223,ms,40.166,ms,2.383,ms,947.01312,Mb/s,41.51072,Mb/s,22.507,ms
0.0,33.236,ms,36.345,ms,41.525,ms,2.933,ms,943.871592,Mb/s,36.850744,Mb/s,20.462,ms
0.0,32.8,ms,37.452,ms,41.449,ms,2.501,ms,951.895984,Mb/s,36.801296,Mb/s,23.116,ms
0.0,32.783,ms,35.433,ms,39.445,ms,2.248,ms,945.870608,Mb/s,36.521504,Mb/s,22.791,ms
0.0,33.495,ms,38.927,ms,44.505,ms,3.392,ms,949.85456,Mb/s,36.989336,Mb/s,20.255,ms
0.0,34.234,ms,37.212,ms,40.577,ms,2.498,ms,943.506832,Mb/s,36.51608,Mb/s,22.533,ms
0.0,33.91,ms,36.669,ms,39.04,ms,1.659,ms,943.18152,Mb/s,36.342312,Mb/s,21.491,ms
0.0,33.936,ms,36.392,ms,40.251,ms,2.095,ms,920.849,Mb/s,35.815664,Mb/s,29.68,ms
0.0,32.433,ms,35.844,ms,40.404,ms,2.437,ms,945.224032,Mb/s,36.158272,Mb/s,21.358,ms
0.0,32.656,ms,39.352,ms,44.044,ms,3.299,ms,953.53732,Mb/s,37.012024,Mb/s,20.294,ms
0.0,33.314,ms,36.048,ms,42.252,ms,2.635,ms,943.602424,Mb/s,36.94236,Mb/s,20.587,ms
0.0,32.941,ms,37.99,ms,41.853,ms,2.534,ms,944.219008,Mb/s,37.162984,Mb/s,19.602,ms
0.0,33.227,ms,37.295,ms,42.82,ms,3.256,ms,945.262576,Mb/s,37.05984,Mb/s,20.187,ms
0.0,31.998,ms,35.797,ms,39.64,ms,2.092,ms,952.069872,Mb/s,37.118296,Mb/s,22.18,ms
0.0,36.208,ms,41.38,ms,45.856,ms,2.878,ms,941.599144,Mb/s,36.985176,Mb/s,22.35,ms
0.0,32.814,ms,34.851,ms,37.558,ms,1.385,ms,947.406512,Mb/s,37.224168,Mb/s,21.6,ms
0.0,32.643,ms,35.087,ms,40.281,ms,2.073,ms,949.63524,Mb/s,36.755256,Mb/s,24.685,ms
0.0,33.744,ms,37.303,ms,41.605,ms,2.267,ms,936.995392,Mb/s,37.315152,Mb/s,19.579,ms
0.0,33.166,ms,37.272,ms,42.073,ms,3.039,ms,951.414464,Mb/s,36.913712,Mb/s,22.541,ms
0.0,32.13,ms,34.499,ms,40.882,ms,2.578,ms,946.1372,Mb/s,36.30848,Mb/s,21.919,ms
0.0,34.235,ms,36.71,ms,41.895,ms,2.376,ms,955.968472,Mb/s,36.161488,Mb/s,21.65,ms
0.0,19.092,ms,22.356,ms,24.965,ms,1.835,ms,936.255088,Mb/s,36.02756,Mb/s,23.13,ms
0.0,17.133,ms,21.679,ms,24.86,ms,2.253,ms,943.428632,Mb/s,36.773912,Mb/s,22.128,ms
0.0,18.77,ms,21.921,ms,24.109,ms,1.613,ms,938.533016,Mb/s,36.989336,Mb/s,26.414,ms
0.0,17.777,ms,20.547,ms,26.662,ms,2.439,ms,921.143968,Mb/s,36.088624,Mb/s,29.209,ms
0.0,17.155,ms,20.791,ms,25.902,ms,2.656,ms,950.294232,Mb/s,36.148888,Mb/s,23.614,ms
0.0,17.37,ms,19.132,ms,21.324,ms,1.203,ms,946.39652,Mb/s,36.55376,Mb/s,20.494,ms
0.0,17.734,ms,20.019,ms,23.75,ms,1.895,ms,942.32916,Mb/s,36.845384,Mb/s,20.887,ms
0.0,18.59,ms,21.773,ms,24.136,ms,1.523,ms,950.535208,Mb/s,36.772832,Mb/s,23.612,ms
0.0,16.754,ms,20.995,ms,27.491,ms,3.678,ms,951.5642,Mb/s,36.514416,Mb/s,23.947,ms
0.0,16.255,ms,20.061,ms,24.159,ms,2.773,ms,941.406728,Mb/s,36.538488,Mb/s,20.844,ms
0.0,18.086,ms,20.494,ms,23.012,ms,1.698,ms,945.740792,Mb/s,41.509936,Mb/s,20.905,ms
0.0,18.28,ms,22.905,ms,27.246,ms,2.819,ms,944.90372,Mb/s,36.76652,Mb/s,24.394,ms
0.0,18.302,ms,20.584,ms,22.756,ms,1.705,ms,946.729712,Mb/s,36.478424,Mb/s,20.478,ms
0.0,18.618,ms,23.52,ms,28.941,ms,2.833,ms,945.844144,Mb/s,37.123848,Mb/s,21.669,ms
0.0,18.392,ms,21.991,ms,26.999,ms,2.531,ms,949.035136,Mb/s,36.181904,Mb/s,26.548,ms
0.0,17.711,ms,24.134,ms,53.743,ms,10.206,ms,933.162952,Mb/s,36.78812,Mb/s,26.411,ms
0.0,17.795,ms,20.458,ms,26.975,ms,2.906,ms,949.510112,Mb/s,36.373752,Mb/s,24.689,ms
0.0,32.432,ms,35.452,ms,39.83,ms,2.421,ms,950.4698,Mb/s,36.73652,Mb/s,20.129,ms
0.0,33.393,ms,36.923,ms,39.544,ms,2.06,ms,944.875464,Mb/s,36.3388,Mb/s,25.725,ms
0.0,32.245,ms,34.436,ms,42.337,ms,2.702,ms,935.33232,Mb/s,36.840416,Mb/s,27.067,ms
0.0,33.107,ms,35.943,ms,40.114,ms,2.328,ms,937.189528,Mb/s,36.83792,Mb/s,25.884,ms
0.0,33.209,ms,36.561,ms,39.071,ms,1.757,ms,950.126392,Mb/s,36.861656,Mb/s,21.372,ms
0.0,18.206,ms,22.232,ms,27.83,ms,3.226,ms,939.933552,Mb/s,37.122712,Mb/s,25.322,ms
0.0,16.79,ms,21.419,ms,25.396,ms,2.381,ms,940.244104,Mb/s,36.885008,Mb/s,19.779,ms
0.0,17.912,ms,21.809,ms,31.322,ms,4.255,ms,944.994344,Mb/s,41.410608,Mb/s,19.095,ms
0.0,17.492,ms,20.191,ms,23.009,ms,1.76,ms,945.490744,Mb/s,36.902176,Mb/s,23.057,ms
0.0,18.384,ms,22.183,ms,26.001,ms,2.506,ms,946.16928,Mb/s,37.755376,Mb/s,21.029,ms
0.0,16.866,ms,19.476,ms,25.499,ms,2.536,ms,936.049536,Mb/s,41.665192,Mb/s,23.365,ms
0.0,16.917,ms,18.584,ms,20.429,ms,1.093,ms,945.236344,Mb/s,41.701184,Mb/s,18.836,ms
0.0,17.688,ms,18.582,ms,20.492,ms,0.761,ms,944.55112,Mb/s,41.706184,Mb/s,19.458,ms
0.0,18.234,ms,19.57,ms,20.684,ms,0.852,ms,942.994824,Mb/s,41.731576,Mb/s,23.342,ms
0.0,16.471,ms,18.8,ms,22.495,ms,1.602,ms,948.687816,Mb/s,41.695424,Mb/s,23.1,ms
0.0,17.631,ms,18.595,ms,21.214,ms,0.953,ms,949.914848,Mb/s,41.57356,Mb/s,19.286,ms
0.0,31.756,ms,33.479,ms,34.308,ms,0.797,ms,948.434472,Mb/s,41.698936,Mb/s,19.32,ms
0.0,33.135,ms,34.784,ms,37.536,ms,1.208,ms,952.060168,Mb/s,41.650448,Mb/s,22.432,ms
0.0,33.601,ms,34.98,ms,36.993,ms,1.026,ms,948.055224,Mb/s,41.628408,Mb/s,19.539,ms
0.0,34.033,ms,35.129,ms,38.288,ms,1.144,ms,955.101536,Mb/s,41.666608,Mb/s,19.779,ms
0.0,32.658,ms,33.591,ms,36.621,ms,1.123,ms,943.583528,Mb/s,41.661064,Mb/s,19.267,ms
0.0,33.012,ms,35.441,ms,38.596,ms,1.634,ms,947.501656,Mb/s,41.680448,Mb/s,19.62,ms
0.0,33.306,ms,34.5,ms,35.691,ms,0.764,ms,940.477152,Mb/s,41.686312,Mb/s,19.206,ms
0.0,32.741,ms,34.467,ms,36.327,ms,0.991,ms,945.49132,Mb/s,41.718104,Mb/s,18.913,ms
0.0,31.871,ms,34.193,ms,37.7,ms,1.595,ms,947.698264,Mb/s,41.692088,Mb/s,19.524,ms
0.0,32.0,ms,33.687,ms,36.968,ms,1.463,ms,946.17856,Mb/s,41.635624,Mb/s,19.515,ms
0.0,18.734,ms,21.535,ms,24.032,ms,1.955,ms,944.797112,Mb/s,37.009816,Mb/s,22.43,ms
0.0,34.933,ms,38.49,ms,42.883,ms,2.488,ms,942.620952,Mb/s,36.724464,Mb/s,21.986,ms
0.0,34.185,ms,38.526,ms,40.584,ms,2.209,ms,942.999016,Mb/s,36.27584,Mb/s,25.03,ms
0.0,33.675,ms,37.756,ms,43.115,ms,3.116,ms,923.259136,Mb/s,36.155096,Mb/s,26.571,ms
0.0,34.515,ms,38.001,ms,41.847,ms,2.5,ms,945.143424,Mb/s,36.688256,Mb/s,21.837,ms
0.0,35.642,ms,37.82,ms,41.502,ms,1.634,ms,955.197752,Mb/s,36.676544,Mb/s,22.676,ms
0.0,32.964,ms,36.012,ms,44.122,ms,3.221,ms,937.402464,Mb/s,36.8958,Mb/s,21.851,ms
0.0,34.466,ms,38.654,ms,42.332,ms,2.856,ms,950.247728,Mb/s,36.674576,Mb/s,21.841,ms
0.0,18.172,ms,21.193,ms,26.458,ms,2.447,ms,943.8848,Mb/s,36.347664,Mb/s,20.618,ms
0.0,17.763,ms,21.816,ms,25.252,ms,2.717,ms,934.044432,Mb/s,37.053008,Mb/s,25.664,ms
0.0,18.223,ms,21.076,ms,24.354,ms,2.156,ms,945.765744,Mb/s,36.35532,Mb/s,21.159,ms
0.0,18.571,ms,25.85,ms,63.462,ms,12.855,ms,951.399288,Mb/s,36.994272,Mb/s,23.392,ms
0.0,17.495,ms,21.135,ms,25.862,ms,2.924,ms,950.844528,Mb/s,36.952432,Mb/s,24.161,ms
0.0,17.579,ms,21.791,ms,24.45,ms,2.351,ms,947.279464,Mb/s,36.713224,Mb/s,22.203,ms
0.0,32.835,ms,36.312,ms,42.741,ms,2.862,ms,938.397464,Mb/s,36.425072,Mb/s,25.942,ms
0.0,33.95,ms,37.491,ms,45.767,ms,3.432,ms,950.822336,Mb/s,35.889848,Mb/s,22.257,ms
0.0,33.87,ms,37.069,ms,40.944,ms,2.117,ms,949.16468,Mb/s,36.486752,Mb/s,22.376,ms
0.0,33.609,ms,36.669,ms,43.295,ms,2.928,ms,946.505848,Mb/s,36.427864,Mb/s,21.553,ms
