Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,34.419,ms,39.276,ms,44.276,ms,3.019,ms,752.5577883023193,Mb/s,34.827209902073236,Mb/s,17.735,ms
0.0,33.637,ms,36.516,ms,40.798,ms,2.058,ms,517.225684520457,Mb/s,29.69693117211866,Mb/s,33.24,ms
0.0,34.112,ms,38.67,ms,44.061,ms,3.101,ms,750.1860594738769,Mb/s,34.8044736154259,Mb/s,17.862,ms
0.0,34.686,ms,37.194,ms,40.817,ms,2.007,ms,625.9096836434876,Mb/s,25.83747950612301,Mb/s,24.503,ms
0.0,37.795,ms,41.218,ms,46.45,ms,2.717,ms,857.8366249372617,Mb/s,35.295926460531724,Mb/s,10.012,ms
0.0,18.204,ms,23.246,ms,27.596,ms,3.287,ms,746.5950116243652,Mb/s,29.31578971585111,Mb/s,17.231,ms
0.0,17.69,ms,21.167,ms,23.93,ms,2.253,ms,797.9916090577913,Mb/s,34.879648105078886,Mb/s,16.768,ms
0.0,16.683,ms,19.264,ms,23.232,ms,1.921,ms,821.0222241336069,Mb/s,35.3137691798788,Mb/s,15.662,ms
0.0,16.381,ms,23.301,ms,36.415,ms,5.327,ms,771.4261223522651,Mb/s,34.91738215979056,Mb/s,17.717,ms
0.0,18.256,ms,21.851,ms,24.188,ms,2.41,ms,893.7526817980676,Mb/s,33.98700343536286,Mb/s,10.322,ms
0.0,32.671,ms,35.059,ms,39.347,ms,2.406,ms,795.3412625528568,Mb/s,35.40690780003211,Mb/s,16.384,ms
0.0,33.91,ms,36.538,ms,39.513,ms,1.835,ms,787.5840841055154,Mb/s,31.93379434444992,Mb/s,17.002,ms
0.0,35.339,ms,38.063,ms,40.423,ms,1.787,ms,761.3435718819863,Mb/s,35.284433368933186,Mb/s,17.791,ms
0.0,33.348,ms,39.864,ms,45.989,ms,4.494,ms,521.7292774496607,Mb/s,29.91410136413786,Mb/s,33.317,ms
0.0,19.234,ms,23.299,ms,26.1,ms,2.519,ms,806.292104088539,Mb/s,32.9147415438928,Mb/s,13.332,ms
0.0,18.2,ms,21.399,ms,31.299,ms,3.697,ms,818.2047115144126,Mb/s,29.611549654102845,Mb/s,16.611,ms
0.0,17.438,ms,20.549,ms,23.436,ms,2.177,ms,798.6827816288469,Mb/s,35.13386064179116,Mb/s,17.809,ms
0.0,17.848,ms,21.344,ms,25.387,ms,2.8,ms,786.3829387318306,Mb/s,35.35236022969894,Mb/s,15.964,ms
0.0,17.811,ms,21.035,ms,25.463,ms,2.383,ms,663.5070388734671,Mb/s,32.397685203291545,Mb/s,23.844,ms
0.0,17.748,ms,20.376,ms,23.621,ms,2.192,ms,798.6802473951527,Mb/s,35.63901906460141,Mb/s,18.077,ms
0.0,18.964,ms,22.513,ms,27.072,ms,2.652,ms,672.3877913577453,Mb/s,35.43079815517346,Mb/s,24.33,ms
0.0,18.307,ms,22.479,ms,27.277,ms,2.614,ms,512.6616040325976,Mb/s,34.27295181736918,Mb/s,34.273,ms
0.0,17.971,ms,21.228,ms,25.606,ms,2.589,ms,896.5160477761339,Mb/s,35.93680896149837,Mb/s,13.255,ms
0.0,18.053,ms,20.091,ms,23.794,ms,1.866,ms,900.0564194783427,Mb/s,33.99533542190156,Mb/s,9.042,ms
0.0,18.086,ms,20.391,ms,23.103,ms,1.496,ms,841.5614900183532,Mb/s,34.48588922067944,Mb/s,15.488,ms
0.0,18.13,ms,20.707,ms,23.773,ms,1.946,ms,648.3853241613514,Mb/s,31.18456259465683,Mb/s,23.731,ms
0.0,17.643,ms,19.268,ms,21.621,ms,1.338,ms,897.3452617239828,Mb/s,35.77022215794872,Mb/s,9.913,ms
0.0,16.891,ms,20.123,ms,22.55,ms,2.066,ms,812.3537136834028,Mb/s,39.27560012402042,Mb/s,16.947,ms
0.0,16.734,ms,18.32,ms,19.798,ms,0.895,ms,908.832306635418,Mb/s,36.915253717674176,Mb/s,13.836,ms
0.0,17.047,ms,18.439,ms,19.861,ms,0.982,ms,828.017464062427,Mb/s,37.93799560188128,Mb/s,16.989,ms
0.0,17.768,ms,20.785,ms,23.75,ms,2.001,ms,796.7260796845228,Mb/s,34.7628128665953,Mb/s,16.674,ms
0.0,19.365,ms,22.759,ms,25.082,ms,1.518,ms,911.5118899531565,Mb/s,34.19406411151105,Mb/s,8.776,ms
0.0,18.207,ms,21.08,ms,25.446,ms,2.336,ms,912.9648494284588,Mb/s,33.85782926493429,Mb/s,8.693,ms
0.0,20.053,ms,22.61,ms,25.465,ms,1.89,ms,914.1698365300526,Mb/s,31.916775497271942,Mb/s,8.433,ms
0.0,18.038,ms,21.101,ms,23.524,ms,1.735,ms,907.806790229663,Mb/s,33.80243340199771,Mb/s,9.765,ms
0.0,20.153,ms,21.868,ms,24.742,ms,1.492,ms,820.8495212926542,Mb/s,32.82180244025922,Mb/s,17.732,ms
0.0,17.396,ms,20.983,ms,31.793,ms,3.826,ms,785.8843636230005,Mb/s,32.59190623726009,Mb/s,17.38,ms
0.0,17.973,ms,20.621,ms,23.2,ms,1.77,ms,832.4511595360124,Mb/s,34.31143209608511,Mb/s,15.462,ms
0.0,18.436,ms,21.77,ms,25.8,ms,2.472,ms,903.1814048197692,Mb/s,35.321285523491035,Mb/s,9.222,ms
0.0,17.812,ms,20.566,ms,25.324,ms,2.356,ms,760.6167164285571,Mb/s,34.44523581838266,Mb/s,19.221,ms
0.0,19.413,ms,23.27,ms,29.577,ms,2.92,ms,890.8769757102663,Mb/s,34.10824409292588,Mb/s,10.194,ms
0.0,17.775,ms,21.332,ms,23.669,ms,1.622,ms,630.9534345817892,Mb/s,24.36350914722161,Mb/s,27.159,ms
0.0,19.481,ms,23.347,ms,29.081,ms,2.598,ms,811.3497058197011,Mb/s,34.574496745423986,Mb/s,15.848,ms
0.0,18.013,ms,21.503,ms,28.708,ms,2.809,ms,713.6447886394595,Mb/s,27.745196326737148,Mb/s,23.641,ms
0.0,18.366,ms,20.779,ms,24.383,ms,1.726,ms,842.8763376324173,Mb/s,32.958349879423906,Mb/s,15.613,ms
0.0,18.775,ms,23.791,ms,26.994,ms,2.6,ms,769.0057872132099,Mb/s,34.891505455677084,Mb/s,17.218,ms
0.0,17.278,ms,21.478,ms,26.209,ms,2.315,ms,700.9657918906184,Mb/s,31.38960869224668,Mb/s,23.63,ms
0.0,17.916,ms,20.077,ms,23.383,ms,1.46,ms,832.0292662463398,Mb/s,34.276284742291544,Mb/s,16.307,ms
0.0,17.858,ms,21.081,ms,26.052,ms,2.35,ms,746.0570567506817,Mb/s,32.16530722187828,Mb/s,20.965,ms
0.0,17.828,ms,21.154,ms,23.147,ms,1.81,ms,839.3821862307507,Mb/s,33.977649424736235,Mb/s,15.269,ms
0.0,17.592,ms,20.007,ms,24.454,ms,1.817,ms,846.0427639960604,Mb/s,35.30289335515045,Mb/s,13.205,ms
0.0,17.914,ms,20.588,ms,22.597,ms,1.357,ms,868.134344954954,Mb/s,35.26278547725942,Mb/s,13.429,ms
0.0,16.618,ms,21.196,ms,23.995,ms,2.155,ms,789.3765214222207,Mb/s,32.0078557982728,Mb/s,17.761,ms
0.0,19.504,ms,22.571,ms,26.755,ms,2.423,ms,427.62283789484525,Mb/s,29.01013170444808,Mb/s,44.898,ms
0.0,19.929,ms,23.244,ms,30.119,ms,3.015,ms,535.8877369274992,Mb/s,34.10574519201454,Mb/s,33.12,ms
0.0,17.428,ms,20.467,ms,25.272,ms,2.497,ms,612.949097621556,Mb/s,30.05421521097048,Mb/s,27.656,ms
0.0,19.283,ms,21.91,ms,25.919,ms,1.906,ms,903.5986609507186,Mb/s,34.17214923703086,Mb/s,9.736,ms
0.0,16.875,ms,20.107,ms,28.76,ms,3.48,ms,814.7471825031897,Mb/s,34.638406704823495,Mb/s,15.007,ms
0.0,17.514,ms,21.06,ms,26.188,ms,2.663,ms,777.6082295709439,Mb/s,33.69440752456053,Mb/s,17.245,ms
0.0,17.368,ms,20.904,ms,23.966,ms,2.013,ms,831.7361136149308,Mb/s,34.455199335121264,Mb/s,16.625,ms
0.0,18.94,ms,21.074,ms,22.608,ms,1.383,ms,800.7672767518703,Mb/s,34.403799022238566,Mb/s,17.482,ms
0.0,17.558,ms,20.712,ms,23.393,ms,2.068,ms,806.889692978739,Mb/s,34.98490810754595,Mb/s,16.492,ms
