Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,33.291,ms,37.825,ms,43.024,ms,3.717,ms,940.9126,Mb/s,37.005376,Mb/s,26.282,ms
0.0,33.714,ms,36.596,ms,40.823,ms,2.38,ms,939.772448,Mb/s,36.628776,Mb/s,24.063,ms
0.0,35.311,ms,39.859,ms,43.864,ms,2.781,ms,937.470624,Mb/s,37.06904,Mb/s,26.983,ms
0.0,34.587,ms,38.078,ms,43.984,ms,2.963,ms,937.94936,Mb/s,36.895616,Mb/s,27.563,ms
0.0,34.727,ms,39.916,ms,43.086,ms,2.448,ms,949.600472,Mb/s,36.452576,Mb/s,21.221,ms
0.0,18.017,ms,21.892,ms,24.745,ms,1.991,ms,943.723328,Mb/s,37.156008,Mb/s,19.741,ms
0.0,17.018,ms,19.932,ms,23.657,ms,2.521,ms,943.81968,Mb/s,36.831272,Mb/s,23.082,ms
0.0,17.12,ms,18.694,ms,24.14,ms,2.035,ms,938.554672,Mb/s,36.482216,Mb/s,22.406,ms
0.0,16.917,ms,21.239,ms,27.081,ms,3.582,ms,939.488816,Mb/s,37.064312,Mb/s,21.302,ms
0.0,17.963,ms,20.952,ms,25.399,ms,2.358,ms,944.77104,Mb/s,36.723528,Mb/s,22.043,ms
0.0,34.864,ms,37.854,ms,41.928,ms,2.03,ms,954.451232,Mb/s,37.254968,Mb/s,21.256,ms
0.0,35.606,ms,39.47,ms,43.552,ms,2.751,ms,943.52592,Mb/s,36.426704,Mb/s,20.336,ms
0.0,32.846,ms,37.382,ms,45.428,ms,3.678,ms,951.021936,Mb/s,36.991008,Mb/s,19.958,ms
0.0,18.797,ms,20.194,ms,21.974,ms,1.103,ms,931.106816,Mb/s,36.674544,Mb/s,24.907,ms
0.0,20.206,ms,23.499,ms,28.854,ms,2.435,ms,953.815552,Mb/s,36.302736,Mb/s,23.052,ms
