TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
speedtest-cli-multi-stream,2022-12-17T21:24:48.363795,2022-12-17T21:25:40.700348,dellemc2,wired,home,262389955.62888396,Bit/s,12688943.721124606,Bit/s
speedtest-cli-multi-stream,2022-12-17T22:03:01.196479,2022-12-17T22:03:54.139396,dellemc2,wired,home,251027990.13565728,Bit/s,11666990.393340036,Bit/s
speedtest-cli-multi-stream,2022-12-17T22:09:35.113180,2022-12-17T22:10:27.575745,dellemc2,wired,home,266165040.56509697,Bit/s,11803532.837890677,Bit/s
speedtest-cli-multi-stream,2023-04-19T21:54:54.205749,2023-04-19T21:55:16.296731,dellemc2,wired,home,265646292.5858873,Bit/s,41693647.085118376,Bit/s
speedtest-cli-multi-stream,2023-04-19T22:56:34.437010,2023-04-19T22:56:56.488502,dellemc2,wired,home,238866272.7118943,Bit/s,41292003.700022854,Bit/s
speedtest-cli-multi-stream,2023-05-10T19:55:10.187812,2023-05-10T19:55:29.412878,dellemc2,wired,home,480208402.1103832,Bit/s,40261737.78627145,Bit/s
speedtest-cli-multi-stream,2023-05-10T19:59:00.041353,2023-05-10T19:59:21.256738,dellemc2,wired,home,490049435.9255244,Bit/s,39018637.111983396,Bit/s
speedtest-cli-multi-stream,2023-05-10T20:24:58.737352,2023-05-10T20:25:17.737135,dellemc2,wired,home,478473261.5257794,Bit/s,41367991.48067708,Bit/s
speedtest-cli-multi-stream,2023-05-10T20:32:06.904257,2023-05-10T20:32:24.408462,dellemc2,wired,home,611700910.8494618,Bit/s,41675835.437911645,Bit/s
speedtest-cli-multi-stream,2023-05-10T21:58:56.113494,2023-05-10T21:59:14.268456,dellemc2,wired,home,547976032.2354994,Bit/s,42110491.068395056,Bit/s
speedtest-cli-multi-stream,2023-05-12T00:23:57.664739,2023-05-12T00:24:19.711151,dellemc2,wired,home,268824498.572063,Bit/s,40804924.34258243,Bit/s
speedtest-cli-multi-stream,2023-05-12T06:01:03.267125,2023-05-12T06:01:23.358271,dellemc2,wired,home,412285642.1430021,Bit/s,38021622.0833028,Bit/s
speedtest-cli-multi-stream,2023-05-12T06:08:43.906197,2023-05-12T06:09:04.972237,dellemc2,wired,home,412903817.88746506,Bit/s,37668114.40564654,Bit/s
speedtest-cli-multi-stream,2023-05-12T06:21:36.480802,2023-05-12T06:21:57.372395,dellemc2,wired,home,424270627.78597254,Bit/s,38347137.91963936,Bit/s
speedtest-cli-multi-stream,2023-05-12T08:30:53.638458,2023-05-12T08:31:10.710697,dellemc2,wired,home,685370859.9950103,Bit/s,37221126.55732067,Bit/s
speedtest-cli-multi-stream,2023-05-12T08:42:55.084097,2023-05-12T08:43:11.937741,dellemc2,wired,home,690607144.0256435,Bit/s,36952668.74378302,Bit/s
speedtest-cli-multi-stream,2023-05-12T09:39:03.659191,2023-05-12T09:39:24.995747,dellemc2,wired,home,371580159.1534501,Bit/s,36836797.36614803,Bit/s
speedtest-cli-multi-stream,2022-12-07T23:46:00.750892,2022-12-07T23:46:18.999269,lanner-nca-1513,wired,home,598613040.9656346,Bit/s,16838910.330576055,Bit/s
speedtest-cli-multi-stream,2022-12-02T01:36:28.544147,2022-12-02T01:36:47.838014,lanneremc1,wired,home,541095348.0558099,Bit/s,34608480.7414139,Bit/s
speedtest-cli-multi-stream,2022-12-02T01:36:35.214041,2022-12-02T01:36:55.264459,lanneremc1,wired,home,405083386.496591,Bit/s,36539503.32640516,Bit/s
speedtest-cli-multi-stream,2023-05-05T08:17:44.580644,2023-05-05T08:18:02.737353,lanneremc2,wired,home,522857018.0790727,Bit/s,39583520.70577274,Bit/s
speedtest-cli-multi-stream,2023-05-12T03:42:39.658077,2023-05-12T03:42:56.717299,lanneremc2,wired,home,659278191.3838751,Bit/s,39362109.92865451,Bit/s
speedtest-cli-multi-stream,2023-05-17T07:06:02.458074,2023-05-17T07:06:26.492993,lanneremc2,wired,home,325239939.45001525,Bit/s,41868687.618959256,Bit/s
speedtest-cli-multi-stream,2023-04-19T22:25:08.622373,2023-04-19T22:25:31.245663,td_lanneremc2,wired,home,312672144.6984019,Bit/s,17204296.851006027,Bit/s
speedtest-cli-multi-stream,2023-04-19T22:28:26.434660,2023-04-19T22:28:46.527107,td_lanneremc2,wired,home,410470471.5401698,Bit/s,18316172.17176726,Bit/s
speedtest-cli-multi-stream,2023-04-27T04:27:20.091946,2023-04-27T04:27:41.017290,td_lanneremc2,wired,home,404698025.31716084,Bit/s,24126284.943583816,Bit/s
speedtest-cli-multi-stream,2023-04-27T04:27:20.093106,2023-04-27T04:27:42.313047,td_lanneremc2,wired,home,198565617.0790198,Bit/s,21339180.45673447,Bit/s
speedtest-cli-multi-stream,2023-04-27T04:32:59.130363,2023-04-27T04:33:18.765609,td_lanneremc2,wired,home,432655150.65276074,Bit/s,32195341.349252842,Bit/s
speedtest-cli-multi-stream,2023-04-27T07:26:14.099585,2023-04-27T07:26:30.996905,td_lanneremc2,wired,home,675490769.6473707,Bit/s,41424730.35906236,Bit/s
speedtest-cli-multi-stream,2023-04-27T12:39:37.032356,2023-04-27T12:39:57.596447,td_lanneremc2,wired,home,394253661.21257055,Bit/s,46027225.1138133,Bit/s
speedtest-cli-multi-stream,2023-04-27T23:23:47.738175,2023-04-27T23:24:07.897931,td_lanneremc2,wired,home,408091148.4346836,Bit/s,42160041.24070696,Bit/s
speedtest-cli-multi-stream,2023-04-28T01:00:59.152415,2023-04-28T01:01:17.494660,td_lanneremc2,wired,home,488996054.3346351,Bit/s,41838109.71281025,Bit/s
speedtest-cli-multi-stream,2023-04-28T05:53:40.018330,2023-04-28T05:54:01.643177,td_lanneremc2,wired,home,345445543.70035833,Bit/s,42062292.37042384,Bit/s
speedtest-cli-multi-stream,2023-04-28T07:38:41.862923,2023-04-28T07:39:04.258927,td_lanneremc2,wired,home,308757961.15640676,Bit/s,39948639.84000222,Bit/s
speedtest-cli-multi-stream,2023-04-28T22:27:38.491267,2023-04-28T22:27:58.525532,td_lanneremc2,wired,home,584213923.103581,Bit/s,43009416.184882835,Bit/s
