TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
ndt5,2022-11-22T02:08:25.543610,2022-11-22T02:08:46.339942,dellemc2,wired,home,674.0850946394074,Mbit/s,36.527,Mbit/s
ndt5,2022-11-22T02:26:30.293193,2022-11-22T02:26:51.029790,dellemc2,wired,home,852.0327767868658,Mbit/s,32.006,Mbit/s
ndt5,2022-12-17T21:24:05.543116,2022-12-17T21:24:26.764643,dellemc2,wired,home,429.87561903465803,Mbit/s,11.596,Mbit/s
ndt5,2022-12-17T22:02:18.428430,2022-12-17T22:02:39.308142,dellemc2,wired,home,446.69793428575,Mbit/s,11.505,Mbit/s
ndt5,2022-12-17T22:08:52.884086,2022-12-17T22:09:13.749774,dellemc2,wired,home,449.7738264168106,Mbit/s,11.522,Mbit/s
ndt5,2023-02-10T23:55:30.983993,2023-02-10T23:55:51.735193,dellemc2,wired,home,919.8645063620613,Mbit/s,39.259,Mbit/s
ndt5,2023-02-10T23:59:04.281038,2023-02-10T23:59:25.214170,dellemc2,wired,home,488.3451619849552,Mbit/s,22.166,Mbit/s
ndt5,2023-02-10T23:59:06.767665,2023-02-10T23:59:27.795975,dellemc2,wired,home,522.3199089090608,Mbit/s,25.479,Mbit/s
ndt5,2023-02-11T02:30:02.535372,2023-02-11T02:30:23.245124,dellemc2,wired,home,919.8487326922996,Mbit/s,38.116,Mbit/s
ndt5,2023-02-11T02:59:46.768581,2023-02-11T03:00:07.733374,dellemc2,wired,home,919.5584640430915,Mbit/s,31.237,Mbit/s
ndt5,2023-02-11T03:29:02.479138,2023-02-11T03:29:23.392168,dellemc2,wired,home,918.2477996008491,Mbit/s,39.742,Mbit/s
ndt5,2023-02-11T03:40:02.511241,2023-02-11T03:40:23.625426,dellemc2,wired,home,770.1272257717505,Mbit/s,39.036,Mbit/s
ndt5,2023-02-11T04:01:02.501180,2023-02-11T04:01:23.313408,dellemc2,wired,home,920.1398333423062,Mbit/s,39.698,Mbit/s
ndt5,2023-02-11T04:13:02.470704,2023-02-11T04:13:23.426964,dellemc2,wired,home,647.8791397218006,Mbit/s,39.918,Mbit/s
ndt5,2023-02-11T04:13:51.621391,2023-02-11T04:14:12.335507,dellemc2,wired,home,919.438102848927,Mbit/s,39.365,Mbit/s
ndt5,2023-02-11T04:20:02.509612,2023-02-11T04:20:23.328094,dellemc2,wired,home,822.1635490026242,Mbit/s,38.06,Mbit/s
ndt5,2023-02-11T04:31:02.486890,2023-02-11T04:31:23.248959,dellemc2,wired,home,919.7695095875088,Mbit/s,39.913,Mbit/s
ndt5,2023-02-11T04:38:02.514190,2023-02-11T04:38:23.858997,dellemc2,wired,home,668.6625796712174,Mbit/s,36.943,Mbit/s
ndt5,2023-02-11T05:16:33.552656,2023-02-11T05:16:54.422270,dellemc2,wired,home,658.3726686850531,Mbit/s,35.53,Mbit/s
ndt5,2023-02-11T05:28:56.257869,2023-02-11T05:29:16.899707,dellemc2,wired,home,849.521944627777,Mbit/s,35.237,Mbit/s
ndt5,2023-02-11T05:54:02.467485,2023-02-11T05:54:23.386191,dellemc2,wired,home,674.575069487012,Mbit/s,34.496,Mbit/s
ndt5,2023-02-11T06:05:50.357019,2023-02-11T06:06:11.233622,dellemc2,wired,home,870.946031963006,Mbit/s,35.186,Mbit/s
ndt5,2023-02-11T06:14:45.859474,2023-02-11T06:15:06.671254,dellemc2,wired,home,919.8528158121969,Mbit/s,35.947,Mbit/s
ndt5,2023-02-16T19:01:32.930642,2023-02-16T19:01:53.925953,dellemc2,wired,home,71.71429336098413,Mbit/s,7.191,Mbit/s
ndt5,2023-02-16T19:01:32.931181,2023-02-16T19:01:53.906735,dellemc2,wired,home,148.93066949829654,Mbit/s,9.095,Mbit/s
ndt5,2023-02-16T19:01:32.963169,2023-02-16T19:01:53.874472,dellemc2,wired,home,497.03153046913155,Mbit/s,9.434,Mbit/s
ndt5,2023-02-16T19:01:33.010130,2023-02-16T19:01:54.006889,dellemc2,wired,home,21.468293885337857,Mbit/s,5.668,Mbit/s
