TestName,TestStartTime,TestEndTime,MurakamiLocation,MurakamiConnectionType,MurakamiNetworkType,DownloadValue,DownloadUnit,UploadValue,UploadUnit
speedtest-cli-single-stream,2023-05-05T08:18:03.197803,2023-05-05T08:18:25.010644,lanneremc2,wired,home,248285306.86745214,Bit/s,25510904.160418432,Bit/s
speedtest-cli-single-stream,2023-05-05T08:44:13.893030,2023-05-05T08:44:35.604685,lanneremc2,wired,home,154138174.8400656,Bit/s,24444877.178538077,Bit/s
speedtest-cli-single-stream,2023-05-05T13:31:07.449619,2023-05-05T13:31:29.973564,lanneremc2,wired,home,251172128.2146769,Bit/s,25459871.113196645,Bit/s
speedtest-cli-single-stream,2023-05-05T16:31:32.663105,2023-05-05T16:31:54.631578,lanneremc2,wired,home,200797267.68061176,Bit/s,21020379.673652392,Bit/s
speedtest-cli-single-stream,2023-05-05T16:51:18.964369,2023-05-05T16:51:40.843063,lanneremc2,wired,home,167645699.0875194,Bit/s,21145583.174491387,Bit/s
speedtest-cli-single-stream,2023-05-06T00:42:06.556785,2023-05-06T00:42:29.623724,lanneremc2,wired,home,203363149.15750256,Bit/s,21271943.205511447,Bit/s
speedtest-cli-single-stream,2023-05-06T03:06:26.789405,2023-05-06T03:06:48.680383,lanneremc2,wired,home,103894547.24339035,Bit/s,32870068.271246832,Bit/s
speedtest-cli-single-stream,2023-05-06T08:16:03.085061,2023-05-06T08:16:28.596048,lanneremc2,wired,home,103704114.77071333,Bit/s,32513699.5649428,Bit/s
speedtest-cli-single-stream,2023-05-06T16:59:41.120128,2023-05-06T17:00:03.042929,lanneremc2,wired,home,29753657.369620107,Bit/s,26683509.07463376,Bit/s
speedtest-cli-single-stream,2023-05-06T17:38:39.356026,2023-05-06T17:39:02.593992,lanneremc2,wired,home,42409009.64783088,Bit/s,26520874.586618908,Bit/s
speedtest-cli-single-stream,2023-05-07T09:56:54.217528,2023-05-07T09:57:16.061327,lanneremc2,wired,home,297663206.9205739,Bit/s,26769400.999994896,Bit/s
speedtest-cli-single-stream,2023-05-07T16:29:39.100509,2023-05-07T16:30:01.314576,lanneremc2,wired,home,120018979.59741598,Bit/s,26486678.249089073,Bit/s
speedtest-cli-single-stream,2023-05-08T01:25:51.411303,2023-05-08T01:26:13.128692,lanneremc2,wired,home,104538396.21866919,Bit/s,32989851.991399813,Bit/s
speedtest-cli-single-stream,2023-05-08T01:40:50.667880,2023-05-08T01:41:13.850440,lanneremc2,wired,home,163809014.9703804,Bit/s,26649114.545792606,Bit/s
speedtest-cli-single-stream,2023-05-08T02:31:50.381352,2023-05-08T02:32:12.242554,lanneremc2,wired,home,203878034.54136658,Bit/s,26266444.30002103,Bit/s
speedtest-cli-single-stream,2023-05-08T21:48:29.579712,2023-05-08T21:48:51.183644,lanneremc2,wired,home,269592389.59344983,Bit/s,27083998.67262417,Bit/s
speedtest-cli-single-stream,2023-05-08T23:23:45.095715,2023-05-08T23:24:06.954006,lanneremc2,wired,home,123339548.0056786,Bit/s,26958664.047445253,Bit/s
speedtest-cli-single-stream,2023-05-09T04:25:31.681521,2023-05-09T04:25:53.371110,lanneremc2,wired,home,132022335.34564136,Bit/s,33137616.999693874,Bit/s
speedtest-cli-single-stream,2023-05-09T13:52:51.045107,2023-05-09T13:53:13.153801,lanneremc2,wired,home,46274670.75063183,Bit/s,26140277.50123794,Bit/s
speedtest-cli-single-stream,2023-05-09T15:21:09.411408,2023-05-09T15:21:31.158963,lanneremc2,wired,home,263070894.69432864,Bit/s,25879614.235552,Bit/s
