Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,16.951,ms,18.576,ms,25.386,ms,2.43,ms,835.7393283731604,Mb/s,40.65125769351176,Mb/s,17.351,ms
0.0,16.486,ms,17.888,ms,19.943,ms,0.919,ms,642.0817794366826,Mb/s,39.26379885083387,Mb/s,25.987,ms
0.0,18.27,ms,19.654,ms,24.351,ms,1.72,ms,903.6035441167294,Mb/s,38.90929598601375,Mb/s,10.946,ms
0.0,17.336,ms,18.772,ms,22.314,ms,1.36,ms,914.6898274060695,Mb/s,40.84809850666965,Mb/s,11.133,ms
0.0,16.788,ms,19.181,ms,24.356,ms,2.001,ms,912.1402673267647,Mb/s,39.507485305163016,Mb/s,11.031,ms
0.0,16.834,ms,20.273,ms,26.334,ms,2.566,ms,849.248694151295,Mb/s,39.943990264264045,Mb/s,17.173,ms
0.0,17.091,ms,18.676,ms,22.653,ms,1.612,ms,916.584976071429,Mb/s,40.48564752096347,Mb/s,9.209,ms
0.0,17.134,ms,18.463,ms,21.227,ms,1.12,ms,672.2947990585259,Mb/s,36.39729035701264,Mb/s,23.868,ms
0.0,17.221,ms,18.725,ms,22.145,ms,1.434,ms,915.6242926106498,Mb/s,40.823497182983594,Mb/s,10.133,ms
0.0,16.443,ms,18.316,ms,20.626,ms,1.148,ms,914.1464648285512,Mb/s,40.07958706810656,Mb/s,10.12,ms
0.0,16.729,ms,18.487,ms,21.078,ms,1.235,ms,911.3388277008127,Mb/s,40.65220293858475,Mb/s,10.458,ms
0.0,16.508,ms,19.052,ms,22.329,ms,1.497,ms,915.4640407816229,Mb/s,40.192574754116,Mb/s,11.661,ms
0.0,16.949,ms,18.194,ms,19.45,ms,0.632,ms,913.0545779159407,Mb/s,40.05496811332649,Mb/s,10.872,ms
0.0,16.058,ms,17.597,ms,19.082,ms,0.943,ms,644.7128937280729,Mb/s,40.45335626086102,Mb/s,26.622,ms
0.0,15.88,ms,17.765,ms,21.386,ms,1.527,ms,690.7696749639792,Mb/s,39.44158738045596,Mb/s,23.965,ms
0.0,16.986,ms,19.248,ms,22.502,ms,1.822,ms,914.947221101797,Mb/s,40.18083753400749,Mb/s,11.92,ms
0.0,16.207,ms,17.625,ms,21.92,ms,1.635,ms,915.8534774421718,Mb/s,40.12230271652265,Mb/s,11.954,ms
0.0,16.164,ms,17.752,ms,20.009,ms,1.034,ms,915.981332167573,Mb/s,39.85098009292457,Mb/s,9.773,ms
0.0,17.024,ms,18.818,ms,23.667,ms,2.099,ms,916.2194527601703,Mb/s,39.52704051621378,Mb/s,11.202,ms
0.0,16.588,ms,18.183,ms,20.007,ms,0.978,ms,883.2726082054264,Mb/s,40.12575551052827,Mb/s,15.628,ms
0.0,17.751,ms,19.153,ms,22.02,ms,1.469,ms,684.719680696717,Mb/s,39.685241270494124,Mb/s,24.442,ms
0.0,16.917,ms,18.064,ms,19.073,ms,0.693,ms,916.3956836719432,Mb/s,40.236534075642275,Mb/s,11.843,ms
0.0,17.081,ms,18.848,ms,23.312,ms,1.75,ms,914.9914786646592,Mb/s,40.588396150576585,Mb/s,9.614,ms
0.0,16.757,ms,18.043,ms,20.139,ms,1.041,ms,916.2580442913114,Mb/s,39.97605076881816,Mb/s,10.719,ms
0.0,16.093,ms,17.92,ms,19.539,ms,1.05,ms,868.1706950330879,Mb/s,39.49102357845659,Mb/s,16.26,ms
0.0,16.349,ms,17.6,ms,20.952,ms,1.237,ms,918.1756561040941,Mb/s,40.73617272715182,Mb/s,9.258,ms
0.0,16.192,ms,18.159,ms,19.571,ms,1.032,ms,869.0721828520491,Mb/s,39.86310644497825,Mb/s,16.451,ms
0.0,16.413,ms,18.055,ms,20.831,ms,1.12,ms,891.9427982666909,Mb/s,39.14372114150515,Mb/s,15.168,ms
0.0,31.827,ms,33.101,ms,34.29,ms,0.722,ms,917.3460422104415,Mb/s,39.73629851072916,Mb/s,11.103,ms
0.0,31.396,ms,32.97,ms,35.965,ms,1.234,ms,916.5752274601413,Mb/s,40.30331219337562,Mb/s,9.782,ms
0.0,32.244,ms,33.362,ms,34.843,ms,0.707,ms,915.5195159394244,Mb/s,40.90300882085042,Mb/s,10.382,ms
