Packet Loss (%),Average RTT,Average RTT Unit,Minimum RTT,Minimum RTT Unit,Maximum RTT,Maximum RTT Unit,RTT Standard Deviation,RTT Standard Deviation Unit,Download Speed,Download Speed Unit,Upload Speed,Upload Speed Unit,Latency,Latency Unit
0.0,16.071,ms,18.661,ms,21.67,ms,1.721,ms,947.304376,Mb/s,41.674464,Mb/s,21.247,ms
0.0,17.446,ms,19.933,ms,26.767,ms,2.62,ms,942.814048,Mb/s,41.710424,Mb/s,21.524,ms
0.0,18.249,ms,20.863,ms,27.191,ms,2.573,ms,948.769632,Mb/s,41.203176,Mb/s,20.447,ms
0.0,16.146,ms,18.746,ms,22.246,ms,2.153,ms,949.289872,Mb/s,41.66936,Mb/s,20.984,ms
0.0,16.601,ms,18.075,ms,19.409,ms,0.932,ms,941.372904,Mb/s,41.573496,Mb/s,25.331,ms
0.0,17.108,ms,18.306,ms,20.869,ms,1.044,ms,949.543416,Mb/s,41.778768,Mb/s,19.886,ms
0.0,17.276,ms,18.886,ms,22.483,ms,1.345,ms,941.817496,Mb/s,41.65816,Mb/s,25.731,ms
0.0,16.219,ms,18.127,ms,20.391,ms,1.035,ms,947.651672,Mb/s,41.660272,Mb/s,21.06,ms
0.0,17.427,ms,18.5,ms,20.726,ms,0.934,ms,953.288008,Mb/s,41.67444,Mb/s,20.713,ms
0.0,17.356,ms,19.022,ms,21.507,ms,1.214,ms,942.5518,Mb/s,42.32508,Mb/s,25.265,ms
0.0,16.161,ms,17.975,ms,20.437,ms,1.34,ms,941.05236,Mb/s,41.608344,Mb/s,21.971,ms
0.0,17.901,ms,19.588,ms,23.155,ms,1.546,ms,942.472696,Mb/s,41.679896,Mb/s,26.01,ms
0.0,16.766,ms,18.01,ms,21.586,ms,1.414,ms,948.890536,Mb/s,41.69972,Mb/s,20.979,ms
0.0,15.834,ms,19.66,ms,25.044,ms,3.128,ms,948.600552,Mb/s,41.687328,Mb/s,20.878,ms
0.0,15.243,ms,17.198,ms,18.864,ms,0.914,ms,945.035608,Mb/s,41.676416,Mb/s,21.3,ms
0.0,18.273,ms,21.202,ms,25.391,ms,2.363,ms,954.994096,Mb/s,41.725544,Mb/s,22.821,ms
0.0,15.949,ms,17.626,ms,19.302,ms,0.914,ms,939.174824,Mb/s,41.739128,Mb/s,19.037,ms
0.0,17.492,ms,18.273,ms,19.826,ms,0.799,ms,942.217824,Mb/s,41.679864,Mb/s,22.906,ms
0.0,17.035,ms,18.741,ms,23.419,ms,1.763,ms,946.047256,Mb/s,41.527072,Mb/s,20.343,ms
0.0,16.457,ms,17.872,ms,21.572,ms,1.478,ms,948.096696,Mb/s,41.590192,Mb/s,20.471,ms
0.0,16.429,ms,18.013,ms,19.01,ms,0.818,ms,943.899112,Mb/s,41.673584,Mb/s,21.285,ms
0.0,16.193,ms,17.142,ms,19.351,ms,0.885,ms,944.49748,Mb/s,41.697968,Mb/s,19.007,ms
0.0,16.52,ms,19.777,ms,23.101,ms,2.329,ms,949.798152,Mb/s,41.19284,Mb/s,20.379,ms
0.0,17.427,ms,18.611,ms,25.429,ms,2.309,ms,950.522864,Mb/s,41.731136,Mb/s,20.294,ms
0.0,16.596,ms,17.729,ms,19.613,ms,0.962,ms,945.866192,Mb/s,41.653456,Mb/s,20.007,ms
0.0,16.396,ms,17.701,ms,21.353,ms,1.303,ms,941.167664,Mb/s,41.699984,Mb/s,19.805,ms
0.0,17.105,ms,17.744,ms,19.037,ms,0.561,ms,947.609528,Mb/s,41.686312,Mb/s,19.029,ms
0.0,16.582,ms,17.89,ms,20.543,ms,1.009,ms,946.531808,Mb/s,41.64728,Mb/s,20.632,ms
